step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
3650,0,0,59,sequential
5000,0,0,59,sequential
7300,0,0,59,sequential
10000,0.01,0,59,sequential
730,0,0,60,sequential
1000,0.03,0,60,sequential
1825,0.97,0,60,sequential
3650,1,0,60,sequential
5000,1,0,60,sequential
7300,1,0,60,sequential
10000,1.07,0,60,sequential
730,0,0,61,sequential
1000,0,0,61,sequential
1825,0,0,61,sequential
3650,0,0,61,sequential
5000,0,0,61,sequential
7300,0.06,0,61,sequential
10000,0.41,0,61,sequential
730,0,0,62,sequential
1000,0,0,62,sequential
1825,0.01,0,62,sequential
3650,0.62,0,62,sequential
5000,0.83,0,62,sequential
7300,0.96,0,62,sequential
10000,1.09,0,62,sequential
730,0,0,63,sequential
1000,0.07,0,63,sequential
1825,0.77,0,63,sequential
3650,0.9,0,63,sequential
5000,1.18,0,63,sequential
7300,1.51,0,63,sequential
10000,1.66,0,63,sequential
730,0,0,64,sequential
1000,0,0,64,sequential
1825,0,0,64,sequential
3650,0,0,64,sequential
5000,0,0,64,sequential
7300,0,0,64,sequential
10000,0,0,64,sequential
730,0,0,65,sequential
1000,0,0,65,sequential
1825,0.02,0,65,sequential
3650,0.16,0,65,sequential
5000,0.17,0,65,sequential
7300,0.18,0,65,sequential
10000,0.2,0,65,sequential
730,0,0,66,sequential
1000,0,0,66,sequential
1825,0,0,66,sequential
3650,0,0,66,sequential
5000,0,0,66,sequential
7300,0,0,66,sequential
10000,0,0,66,sequential
730,0,0,67,sequential
1000,0,0,67,sequential
1825,0,0,67,sequential
3650,0,0,67,sequential
5000,0,0,67,sequential
7300,0,0,67,sequential
10000,0,0,67,sequential
730,0,0,68,sequential
1000,0,0,68,sequential
1825,0,0,68,sequential
3650,0,0,68,sequential
5000,0,0,68,sequential
7300,0.01,0,68,sequential
10000,0.01,0,68,sequential
730,0,0,69,sequential
1000,0.17,0,69,sequential
1825,0.87,0,69,sequential
3650,0.99,0,69,sequential
5000,1,0,69,sequential
7300,1.01,0,69,sequential
10000,1.01,0,69,sequential
730,0,0,70,sequential
1000,0,0,70,sequential
1825,0,0,70,sequential
3650,0.1,0,70,sequential
5000,0.31,0,70,sequential
7300,0.67,0,70,sequential
10000,0.8,0,70,sequential
730,0,0,71,sequential
1000,0,0,71,sequential
1825,0,0,71,sequential
3650,0.29,0,71,sequential
5000,0.85,0,71,sequential
7300,0.99,0,71,sequential
10000,1,0,71,sequential
730,0,0,72,sequential
1000,0,0,72,sequential
1825,0,0,72,sequential
3650,0,0,72,sequential
5000,0,0,72,sequential
7300,0,0,72,sequential
10000,0,0,72,sequential
730,0,0,73,sequential
1000,0.09,0,73,sequential
1825,1,0,73,sequential
3650,1.08,0,73,sequential
5000,1.56,0,73,sequential
7300,1.95,0,73,sequential
10000,2,0,73,sequential
730,0,0,74,sequential
1000,0,0,74,sequential
1825,0,0,74,sequential
3650,0,0,74,sequential
5000,0,0,74,sequential
7300,0.13,0,74,sequential
10000,0.66,0,74,sequential
730,0,0,75,sequential
1000,0,0,75,sequential
1825,0,0,75,sequential
3650,0,0,75,sequential
5000,0,0,75,sequential
7300,0,0,75,sequential
10000,0,0,75,sequential
730,0,0,76,sequential
1000,0,0,76,sequential
1825,0,0,76,sequential
3650,0,0,76,sequential
5000,0,0,76,sequential
7300,0,0,76,sequential
10000,0,0,76,sequential
730,0,0,77,sequential
1000,0,0,77,sequential
1825,0.2,0,77,sequential
3650,0.68,0,77,sequential
5000,0.68,0,77,sequential
7300,0.68,0,77,sequential
10000,0.68,0,77,sequential
730,0,0,78,sequential
1000,0,0,78,sequential
1825,0,0,78,sequential
3650,0,0,78,sequential
5000,0,0,78,sequential
7300,0,0,78,sequential
10000,0,0,78,sequential
730,0,0,79,sequential
1000,0,0,79,sequential
1825,0,0,79,sequential
3650,0,0,79,sequential
5000,0,0,79,sequential
7300,0,0,79,sequential
10000,0,0,79,sequential
730,0,0,80,sequential
1000,0,0,80,sequential
1825,0,0,80,sequential
3650,0,0,80,sequential
5000,0,0,80,sequential
7300,0,0,80,sequential
10000,0,0,80,sequential
730,0,0,81,sequential
1000,0,0,81,sequential
1825,0,0,81,sequential
3650,0,0,81,sequential
5000,0,0,81,sequential
7300,0,0,81,sequential
10000,0,0,81,sequential
730,0,0,82,sequential
1000,0,0,82,sequential
1825,0,0,82,sequential
3650,0,0,82,sequential
5000,0,0,82,sequential
7300,0,0,82,sequential
10000,0,0,82,sequential
730,0,0,83,sequential
1000,0,0,83,sequential
1825,0,0,83,sequential
3650,0,0,83,sequential
5000,0,0,83,sequential
7300,0,0,83,sequential
10000,0,0,83,sequential
730,0,0,84,sequential
1000,0,0,84,sequential
1825,0.69,0,84,sequential
3650,1,0,84,sequential
5000,1,0,84,sequential
7300,1,0,84,sequential
10000,1,0,84,sequential
730,0,0,85,sequential
1000,0,0,85,sequential
1825,0.38,0,85,sequential
3650,1,0,85,sequential
5000,1.31,0,85,sequential
7300,1.7,0,85,sequential
10000,1.87,0,85,sequential
730,0,0,86,sequential
1000,0,0,86,sequential
1825,0,0,86,sequential
3650,0.56,0,86,sequential
5000,0.99,0,86,sequential
7300,1,0,86,sequential
10000,1,0,86,sequential
730,0,0,87,sequential
1000,0,0,87,sequential
1825,0,0,87,sequential
3650,0.31,0,87,sequential
5000,0.55,0,87,sequential
7300,0.68,0,87,sequential
10000,0.77,0,87,sequential
730,0,0,88,sequential
1000,0,0,88,sequential
1825,0,0,88,sequential
3650,0,0,88,sequential
5000,0,0,88,sequential
7300,0,0,88,sequential
10000,0,0,88,sequential
730,0,0,89,sequential
1000,0,0,89,sequential
1825,0,0,89,sequential
3650,0,0,89,sequential
5000,0,0,89,sequential
7300,0,0,89,sequential
10000,0,0,89,sequential
730,0,0,90,sequential
1000,0,0,90,sequential
1825,0,0,90,sequential
3650,0.22,0,90,sequential
5000,0.47,0,90,sequential
7300,0.57,0,90,sequential
10000,0.59,0,90,sequential
730,0,0,91,sequential
1000,0,0,91,sequential
1825,0.13,0,91,sequential
3650,1,0,91,sequential
5000,1,0,91,sequential
7300,1,0,91,sequential
10000,1,0,91,sequential
730,0,0,92,sequential
1000,0,0,92,sequential
1825,0,0,92,sequential
3650,0,0,92,sequential
5000,0,0,92,sequential
7300,0.01,0,92,sequential
10000,0.02,0,92,sequential
730,0,0,93,sequential
1000,0,0,93,sequential
1825,0,0,93,sequential
3650,0,0,93,sequential
5000,0,0,93,sequential
7300,0,0,93,sequential
10000,0,0,93,sequential
730,0,0,94,sequential
1000,0,0,94,sequential
1825,0,0,94,sequential
3650,0.58,0,94,sequential
5000,0.67,0,94,sequential
7300,0.7,0,94,sequential
10000,0.71,0,94,sequential
730,0,0,95,sequential
1000,0,0,95,sequential
1825,0,0,95,sequential
3650,0,0,95,sequential
5000,0,0,95,sequential
7300,0,0,95,sequential
10000,0,0,95,sequential
730,0,0,96,sequential
1000,0,0,96,sequential
1825,0,0,96,sequential
3650,0,0,96,sequential
5000,0.01,0,96,sequential
7300,0.13,0,96,sequential
10000,0.53,0,96,sequential
730,0,0,97,sequential
1000,0,0,97,sequential
1825,0,0,97,sequential
3650,0,0,97,sequential
5000,0,0,97,sequential
7300,0,0,97,sequential
10000,0,0,97,sequential
730,0,0,98,sequential
1000,0,0,98,sequential
1825,0,0,98,sequential
3650,0,0,98,sequential
5000,0,0,98,sequential
7300,0,0,98,sequential
10000,0,0,98,sequential
730,0,0,99,sequential
1000,0,0,99,sequential
1825,0,0,99,sequential
3650,0,0,99,sequential
5000,0,0,99,sequential
7300,0,0,99,sequential
10000,0,0,99,sequential
730,0,0,100,sequential
1000,0,0,100,sequential
1825,0.21,0,100,sequential
3650,0.88,0,100,sequential
5000,0.97,0,100,sequential
7300,1,0,100,sequential
10000,1,0,100,sequential
730,0,0,101,sequential
1000,0,0,101,sequential
1825,0,0,101,sequential
3650,0,0,101,sequential
5000,0,0,101,sequential
7300,0,0,101,sequential
10000,0,0,101,sequential
730,0,0,102,sequential
1000,0,0,102,sequential
1825,0,0,102,sequential
3650,0,0,102,sequential
5000,0,0,102,sequential
7300,0,0,102,sequential
10000,0,0,102,sequential
730,0,0,103,sequential
1000,0,0,103,sequential
1825,0,0,103,sequential
3650,0,0,103,sequential
5000,0,0,103,sequential
7300,0,0,103,sequential
10000,0,0,103,sequential
730,0,0,104,sequential
1000,0,0,104,sequential
1825,0,0,104,sequential
3650,0,0,104,sequential
5000,0,0,104,sequential
7300,0.01,0,104,sequential
10000,0.02,0,104,sequential
730,0,0,105,sequential
1000,0,0,105,sequential
1825,0.02,0,105,sequential
3650,0.71,0,105,sequential
5000,1.21,0,105,sequential
7300,2.26,0.49,105,sequential
10000,2.81,0.88,105,sequential
730,0,0,106,sequential
1000,0,0,106,sequential
1825,0,0,106,sequential
3650,0,0,106,sequential
5000,0,0,106,sequential
