step,parameter_comb,strategy,prop_runs_prevA_above
1825,60,sequential,0.97
3650,60,sequential,1
5000,60,sequential,1
7300,60,sequential,1
10000,60,sequential,1
730,61,sequential,0
1000,61,sequential,0
1825,61,sequential,0
3650,61,sequential,0
5000,61,sequential,0
7300,61,sequential,0.06
10000,61,sequential,0.41
730,62,sequential,0
1000,62,sequential,0
1825,62,sequential,0.01
3650,62,sequential,0.61
5000,62,sequential,0.79
7300,62,sequential,0.89
10000,62,sequential,0.94
730,63,sequential,0
1000,63,sequential,0.07
1825,63,sequential,0.77
3650,63,sequential,0.84
5000,63,sequential,0.85
7300,63,sequential,0.87
10000,63,sequential,0.87
730,64,sequential,0
1000,64,sequential,0
1825,64,sequential,0
3650,64,sequential,0
5000,64,sequential,0
7300,64,sequential,0
10000,64,sequential,0
730,65,sequential,0
1000,65,sequential,0
1825,65,sequential,0.02
3650,65,sequential,0.15
5000,65,sequential,0.16
7300,65,sequential,0.17
10000,65,sequential,0.19
730,66,sequential,0
1000,66,sequential,0
1825,66,sequential,0
3650,66,sequential,0
5000,66,sequential,0
7300,66,sequential,0
10000,66,sequential,0
730,67,sequential,0
1000,67,sequential,0
1825,67,sequential,0
3650,67,sequential,0
5000,67,sequential,0
7300,67,sequential,0
10000,67,sequential,0
730,68,sequential,0
1000,68,sequential,0
1825,68,sequential,0
3650,68,sequential,0
5000,68,sequential,0
7300,68,sequential,0.01
10000,68,sequential,0.01
730,69,sequential,0
1000,69,sequential,0.17
1825,69,sequential,0.87
3650,69,sequential,0.94
5000,69,sequential,0.94
7300,69,sequential,0.95
10000,69,sequential,0.95
730,70,sequential,0
1000,70,sequential,0
1825,70,sequential,0
3650,70,sequential,0.1
5000,70,sequential,0.31
7300,70,sequential,0.67
10000,70,sequential,0.8
730,71,sequential,0
1000,71,sequential,0
1825,71,sequential,0
3650,71,sequential,0.29
5000,71,sequential,0.85
7300,71,sequential,0.99
10000,71,sequential,1
730,72,sequential,0
1000,72,sequential,0
1825,72,sequential,0
3650,72,sequential,0
5000,72,sequential,0
7300,72,sequential,0
10000,72,sequential,0
730,73,sequential,0
1000,73,sequential,0.09
1825,73,sequential,1
3650,73,sequential,1
5000,73,sequential,1
