step,parameter_comb,strategy,prop_runs_prevC_above
1000,74,equal allocation,0
1825,74,equal allocation,0
3650,74,equal allocation,0
5000,74,equal allocation,0.15
7300,74,equal allocation,0.93
10000,74,equal allocation,1
730,75,equal allocation,0
1000,75,equal allocation,0
1825,75,equal allocation,0
3650,75,equal allocation,0
5000,75,equal allocation,0
7300,75,equal allocation,0
10000,75,equal allocation,0
730,76,equal allocation,0
1000,76,equal allocation,0
1825,76,equal allocation,0
3650,76,equal allocation,0
5000,76,equal allocation,0
7300,76,equal allocation,0
10000,76,equal allocation,0
730,77,equal allocation,0
1000,77,equal allocation,0
1825,77,equal allocation,0
3650,77,equal allocation,0
5000,77,equal allocation,0
7300,77,equal allocation,0
10000,77,equal allocation,0
730,78,equal allocation,0
1000,78,equal allocation,0
1825,78,equal allocation,0
3650,78,equal allocation,0
5000,78,equal allocation,0
7300,78,equal allocation,0
10000,78,equal allocation,0
730,79,equal allocation,0
1000,79,equal allocation,0
1825,79,equal allocation,0
3650,79,equal allocation,0
5000,79,equal allocation,0
7300,79,equal allocation,0
10000,79,equal allocation,0
730,80,equal allocation,0
1000,80,equal allocation,0
1825,80,equal allocation,0
3650,80,equal allocation,0
5000,80,equal allocation,0
7300,80,equal allocation,0
10000,80,equal allocation,0
730,81,equal allocation,0
1000,81,equal allocation,0
1825,81,equal allocation,0
3650,81,equal allocation,0
5000,81,equal allocation,0
7300,81,equal allocation,0
10000,81,equal allocation,0.55
730,82,equal allocation,0
1000,82,equal allocation,0
1825,82,equal allocation,0
3650,82,equal allocation,0
5000,82,equal allocation,0
7300,82,equal allocation,0
10000,82,equal allocation,0
730,83,equal allocation,0
1000,83,equal allocation,0
1825,83,equal allocation,0
3650,83,equal allocation,0
5000,83,equal allocation,0
7300,83,equal allocation,0
10000,83,equal allocation,0.39
730,84,equal allocation,0
1000,84,equal allocation,0
1825,84,equal allocation,0
3650,84,equal allocation,0
5000,84,equal allocation,0
7300,84,equal allocation,0
10000,84,equal allocation,0
730,85,equal allocation,0
1000,85,equal allocation,0
1825,85,equal allocation,0
3650,85,equal allocation,0
5000,85,equal allocation,0
7300,85,equal allocation,0
10000,85,equal allocation,0.01
730,86,equal allocation,0
1000,86,equal allocation,0
1825,86,equal allocation,0
3650,86,equal allocation,0
5000,86,equal allocation,0
7300,86,equal allocation,0
10000,86,equal allocation,0
730,87,equal allocation,0
1000,87,equal allocation,0
1825,87,equal allocation,0
3650,87,equal allocation,0
5000,87,equal allocation,0
7300,87,equal allocation,0
10000,87,equal allocation,0
730,88,equal allocation,0
1000,88,equal allocation,0
1825,88,equal allocation,0
3650,88,equal allocation,0
5000,88,equal allocation,0
7300,88,equal allocation,0
10000,88,equal allocation,0
730,89,equal allocation,0
1000,89,equal allocation,0
1825,89,equal allocation,0
3650,89,equal allocation,0
5000,89,equal allocation,0
7300,89,equal allocation,NA
10000,89,equal allocation,NA
730,90,equal allocation,0
1000,90,equal allocation,0
1825,90,equal allocation,0
3650,90,equal allocation,0
5000,90,equal allocation,0.01
7300,90,equal allocation,0.79
10000,90,equal allocation,1
730,91,equal allocation,0
1000,91,equal allocation,0
1825,91,equal allocation,0
3650,91,equal allocation,0
5000,91,equal allocation,0
7300,91,equal allocation,0
10000,91,equal allocation,0
730,92,equal allocation,0
1000,92,equal allocation,0
1825,92,equal allocation,0
3650,92,equal allocation,0.98
5000,92,equal allocation,1
7300,92,equal allocation,1
10000,92,equal allocation,1
730,93,equal allocation,0
1000,93,equal allocation,0
1825,93,equal allocation,0
3650,93,equal allocation,0
5000,93,equal allocation,0
7300,93,equal allocation,0
10000,93,equal allocation,0
730,94,equal allocation,0
1000,94,equal allocation,0
1825,94,equal allocation,0
3650,94,equal allocation,0.51
5000,94,equal allocation,1
7300,94,equal allocation,1
10000,94,equal allocation,1
730,95,equal allocation,0
1000,95,equal allocation,0
1825,95,equal allocation,0
3650,95,equal allocation,0
5000,95,equal allocation,0
7300,95,equal allocation,0
10000,95,equal allocation,0
730,96,equal allocation,0
1000,96,equal allocation,0
1825,96,equal allocation,0
3650,96,equal allocation,0
5000,96,equal allocation,0
7300,96,equal allocation,0.14
10000,96,equal allocation,0.89
730,97,equal allocation,0
1000,97,equal allocation,0
1825,97,equal allocation,0
3650,97,equal allocation,0
5000,97,equal allocation,0
7300,97,equal allocation,0.1
10000,97,equal allocation,0.86
730,98,equal allocation,0
1000,98,equal allocation,0
1825,98,equal allocation,0
3650,98,equal allocation,0.02
5000,98,equal allocation,0.21
7300,98,equal allocation,0.76
10000,98,equal allocation,0.97
730,99,equal allocation,0
1000,99,equal allocation,0
1825,99,equal allocation,0
3650,99,equal allocation,0
5000,99,equal allocation,0
7300,99,equal allocation,0.01
10000,99,equal allocation,0.38
730,100,equal allocation,0
1000,100,equal allocation,0
1825,100,equal allocation,0
3650,100,equal allocation,0
5000,100,equal allocation,0
7300,100,equal allocation,0
10000,100,equal allocation,0
730,101,equal allocation,0
1000,101,equal allocation,0
1825,101,equal allocation,0
3650,101,equal allocation,0.14
5000,101,equal allocation,0.98
7300,101,equal allocation,1
10000,101,equal allocation,1
730,102,equal allocation,0
1000,102,equal allocation,0
1825,102,equal allocation,0
3650,102,equal allocation,0
5000,102,equal allocation,0
7300,102,equal allocation,0
10000,102,equal allocation,0.02
730,103,equal allocation,0
1000,103,equal allocation,0
1825,103,equal allocation,0
3650,103,equal allocation,0
5000,103,equal allocation,0.19
7300,103,equal allocation,0.74
10000,103,equal allocation,0.96
730,104,equal allocation,0
1000,104,equal allocation,0
1825,104,equal allocation,0
3650,104,equal allocation,0
5000,104,equal allocation,0
7300,104,equal allocation,0.68
10000,104,equal allocation,1
730,105,equal allocation,0
1000,105,equal allocation,0
1825,105,equal allocation,0
3650,105,equal allocation,0
5000,105,equal allocation,0
7300,105,equal allocation,0
10000,105,equal allocation,0
730,106,equal allocation,0
1000,106,equal allocation,0
1825,106,equal allocation,0
3650,106,equal allocation,0.06
5000,106,equal allocation,0.59
7300,106,equal allocation,0.98
10000,106,equal allocation,1
730,107,equal allocation,0
1000,107,equal allocation,0
1825,107,equal allocation,0
3650,107,equal allocation,0
5000,107,equal allocation,0
7300,107,equal allocation,0
10000,107,equal allocation,0.03
730,108,equal allocation,0
1000,108,equal allocation,0
1825,108,equal allocation,0
3650,108,equal allocation,0
5000,108,equal allocation,0
7300,108,equal allocation,0
10000,108,equal allocation,0
730,109,equal allocation,0
1000,109,equal allocation,0
1825,109,equal allocation,0
3650,109,equal allocation,0
5000,109,equal allocation,0
7300,109,equal allocation,0.37
10000,109,equal allocation,1
730,110,equal allocation,0
1000,110,equal allocation,0
1825,110,equal allocation,0
3650,110,equal allocation,0
5000,110,equal allocation,0
7300,110,equal allocation,0.41
10000,110,equal allocation,1
730,111,equal allocation,0
1000,111,equal allocation,0
1825,111,equal allocation,0
3650,111,equal allocation,0
5000,111,equal allocation,0
7300,111,equal allocation,0.01
10000,111,equal allocation,0.02
730,112,equal allocation,0
1000,112,equal allocation,0
1825,112,equal allocation,0
3650,112,equal allocation,0
5000,112,equal allocation,0
7300,112,equal allocation,0
10000,112,equal allocation,0
730,113,equal allocation,0
1000,113,equal allocation,0
1825,113,equal allocation,0
3650,113,equal allocation,1
5000,113,equal allocation,1
7300,113,equal allocation,1
10000,113,equal allocation,1
730,114,equal allocation,0
1000,114,equal allocation,0
1825,114,equal allocation,0
3650,114,equal allocation,0
5000,114,equal allocation,0.26
7300,114,equal allocation,0.95
10000,114,equal allocation,1
730,115,equal allocation,0
1000,115,equal allocation,0
1825,115,equal allocation,0
3650,115,equal allocation,0
5000,115,equal allocation,0
7300,115,equal allocation,0
10000,115,equal allocation,0.11
730,116,equal allocation,0
1000,116,equal allocation,0
1825,116,equal allocation,0
3650,116,equal allocation,0
5000,116,equal allocation,0
7300,116,equal allocation,0
10000,116,equal allocation,0
730,117,equal allocation,0
1000,117,equal allocation,0
1825,117,equal allocation,0
3650,117,equal allocation,0
5000,117,equal allocation,0
7300,117,equal allocation,0
10000,117,equal allocation,0
730,118,equal allocation,0
1000,118,equal allocation,0
1825,118,equal allocation,0
3650,118,equal allocation,0.84
5000,118,equal allocation,1
7300,118,equal allocation,1
10000,118,equal allocation,1
730,119,equal allocation,0
1000,119,equal allocation,0
1825,119,equal allocation,0
3650,119,equal allocation,0.44
5000,119,equal allocation,0.98
7300,119,equal allocation,1
10000,119,equal allocation,1
730,120,equal allocation,0
1000,120,equal allocation,0
1825,120,equal allocation,0
3650,120,equal allocation,0
5000,120,equal allocation,0
7300,120,equal allocation,0
10000,120,equal allocation,0
730,121,equal allocation,0
1000,121,equal allocation,0
1825,121,equal allocation,0.01
3650,121,equal allocation,0.91
5000,121,equal allocation,0.99
7300,121,equal allocation,1
10000,121,equal allocation,1
730,122,equal allocation,0
1000,122,equal allocation,0
1825,122,equal allocation,0
3650,122,equal allocation,0
5000,122,equal allocation,0
7300,122,equal allocation,0
10000,122,equal allocation,0.13
730,123,equal allocation,0
1000,123,equal allocation,0
1825,123,equal allocation,0
3650,123,equal allocation,0
5000,123,equal allocation,0
7300,123,equal allocation,0
10000,123,equal allocation,0.04
730,124,equal allocation,0
1000,124,equal allocation,0
1825,124,equal allocation,0
3650,124,equal allocation,0
5000,124,equal allocation,0
7300,124,equal allocation,0
10000,124,equal allocation,0
730,125,equal allocation,0
1000,125,equal allocation,0
1825,125,equal allocation,0
3650,125,equal allocation,0
5000,125,equal allocation,0
7300,125,equal allocation,0
10000,125,equal allocation,0
730,126,equal allocation,0
1000,126,equal allocation,0
1825,126,equal allocation,0
3650,126,equal allocation,0.02
5000,126,equal allocation,0.41
7300,126,equal allocation,0.91
10000,126,equal allocation,0.99
730,127,equal allocation,0
1000,127,equal allocation,0
1825,127,equal allocation,0
3650,127,equal allocation,0
5000,127,equal allocation,0
7300,127,equal allocation,0
10000,127,equal allocation,0.37
730,128,equal allocation,0
1000,128,equal allocation,0
1825,128,equal allocation,0
3650,128,equal allocation,0.01
5000,128,equal allocation,0.01
7300,128,equal allocation,0.35
10000,128,equal allocation,0.76
730,129,equal allocation,0
1000,129,equal allocation,0
1825,129,equal allocation,0
3650,129,equal allocation,0
5000,129,equal allocation,0
7300,129,equal allocation,0
10000,129,equal allocation,0
730,130,equal allocation,0
1000,130,equal allocation,0
1825,130,equal allocation,0
3650,130,equal allocation,0
5000,130,equal allocation,0.01
7300,130,equal allocation,0.09
10000,130,equal allocation,0.17
