step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
3650,0,0,72,equal allocation
5000,0,0,72,equal allocation
7300,0,0,72,equal allocation
10000,0,0,72,equal allocation
730,0,0,73,equal allocation
1000,0,0,73,equal allocation
1825,0,0,73,equal allocation
3650,0,0,73,equal allocation
5000,0,0,73,equal allocation
7300,0,0,73,equal allocation
10000,0,0,73,equal allocation
730,0,0,74,equal allocation
1000,0,0,74,equal allocation
1825,0,0,74,equal allocation
3650,0,0,74,equal allocation
5000,0,0,74,equal allocation
7300,0,0,74,equal allocation
10000,0,0,74,equal allocation
730,0,0,75,equal allocation
1000,0,0,75,equal allocation
1825,0,0,75,equal allocation
3650,0,0,75,equal allocation
5000,0,0,75,equal allocation
7300,0,0,75,equal allocation
10000,0,0,75,equal allocation
730,0,0,76,equal allocation
1000,0,0,76,equal allocation
1825,0,0,76,equal allocation
3650,0,0,76,equal allocation
5000,0,0,76,equal allocation
7300,0,0,76,equal allocation
10000,0,0,76,equal allocation
730,0,0,77,equal allocation
1000,0,0,77,equal allocation
1825,0,0,77,equal allocation
3650,0,0,77,equal allocation
5000,0,0,77,equal allocation
7300,0,0,77,equal allocation
10000,0,0,77,equal allocation
730,0,0,78,equal allocation
1000,0,0,78,equal allocation
1825,0,0,78,equal allocation
3650,0,0,78,equal allocation
5000,0,0,78,equal allocation
7300,0,0,78,equal allocation
10000,0,0,78,equal allocation
730,0,0,79,equal allocation
1000,0,0,79,equal allocation
1825,0,0,79,equal allocation
3650,0.01,0,79,equal allocation
5000,0.11,0,79,equal allocation
7300,0.37,0,79,equal allocation
10000,0.59,0,79,equal allocation
730,0,0,80,equal allocation
1000,0,0,80,equal allocation
1825,0,0,80,equal allocation
3650,0,0,80,equal allocation
5000,0,0,80,equal allocation
7300,0,0,80,equal allocation
10000,0,0,80,equal allocation
730,0,0,81,equal allocation
1000,0,0,81,equal allocation
1825,0,0,81,equal allocation
3650,0,0,81,equal allocation
5000,0,0,81,equal allocation
7300,0,0,81,equal allocation
10000,0,0,81,equal allocation
730,0,0,82,equal allocation
1000,0,0,82,equal allocation
1825,0,0,82,equal allocation
3650,0,0,82,equal allocation
5000,0,0,82,equal allocation
7300,0,0,82,equal allocation
10000,0,0,82,equal allocation
730,0,0,83,equal allocation
1000,0,0,83,equal allocation
1825,0,0,83,equal allocation
3650,0,0,83,equal allocation
5000,0,0,83,equal allocation
7300,0,0,83,equal allocation
10000,0,0,83,equal allocation
730,0,0,84,equal allocation
1000,0,0,84,equal allocation
1825,0,0,84,equal allocation
3650,0,0,84,equal allocation
5000,0,0,84,equal allocation
7300,0,0,84,equal allocation
10000,0,0,84,equal allocation
730,0,0,85,equal allocation
1000,0,0,85,equal allocation
1825,0,0,85,equal allocation
3650,0,0,85,equal allocation
5000,0.01,0,85,equal allocation
7300,0.08,0,85,equal allocation
10000,0.11,0,85,equal allocation
730,0,0,86,equal allocation
1000,0,0,86,equal allocation
1825,0,0,86,equal allocation
3650,0,0,86,equal allocation
5000,0,0,86,equal allocation
7300,0,0,86,equal allocation
10000,0,0,86,equal allocation
730,0,0,87,equal allocation
1000,0,0,87,equal allocation
1825,0,0,87,equal allocation
3650,0,0,87,equal allocation
5000,0,0,87,equal allocation
7300,0,0,87,equal allocation
10000,0,0,87,equal allocation
730,0,0,88,equal allocation
1000,0,0,88,equal allocation
1825,0,0,88,equal allocation
3650,0,0,88,equal allocation
5000,0,0,88,equal allocation
7300,0,0,88,equal allocation
10000,0,0,88,equal allocation
730,0,0,89,equal allocation
1000,0,0,89,equal allocation
1825,0,0,89,equal allocation
3650,0,0,89,equal allocation
5000,0,0,89,equal allocation
7300,0,0,89,equal allocation
10000,0,0,89,equal allocation
730,0,0,90,equal allocation
1000,0,0,90,equal allocation
1825,0,0,90,equal allocation
3650,0,0,90,equal allocation
5000,0,0,90,equal allocation
7300,0,0,90,equal allocation
10000,0,0,90,equal allocation
730,0,0,91,equal allocation
1000,0,0,91,equal allocation
1825,0,0,91,equal allocation
3650,0,0,91,equal allocation
5000,0,0,91,equal allocation
7300,0,0,91,equal allocation
10000,0,0,91,equal allocation
730,0,0,92,equal allocation
1000,0,0,92,equal allocation
1825,0,0,92,equal allocation
3650,0,0,92,equal allocation
5000,0,0,92,equal allocation
7300,0,0,92,equal allocation
10000,0,0,92,equal allocation
730,0,0,93,equal allocation
1000,0,0,93,equal allocation
1825,0,0,93,equal allocation
3650,0,0,93,equal allocation
5000,0.03,0,93,equal allocation
7300,0.08,0,93,equal allocation
10000,0.09,0,93,equal allocation
730,0,0,94,equal allocation
1000,0,0,94,equal allocation
1825,0,0,94,equal allocation
3650,0,0,94,equal allocation
5000,0,0,94,equal allocation
7300,0,0,94,equal allocation
10000,0,0,94,equal allocation
730,0,0,95,equal allocation
1000,0,0,95,equal allocation
1825,0,0,95,equal allocation
3650,0,0,95,equal allocation
5000,0,0,95,equal allocation
7300,0,0,95,equal allocation
10000,0,0,95,equal allocation
730,0,0,96,equal allocation
1000,0,0,96,equal allocation
1825,0,0,96,equal allocation
3650,0.01,0,96,equal allocation
5000,0.06,0,96,equal allocation
7300,0.15,0,96,equal allocation
10000,0.22,0,96,equal allocation
730,0,0,97,equal allocation
1000,0,0,97,equal allocation
1825,0,0,97,equal allocation
3650,0,0,97,equal allocation
5000,0,0,97,equal allocation
7300,0,0,97,equal allocation
10000,0,0,97,equal allocation
730,0,0,98,equal allocation
1000,0,0,98,equal allocation
1825,0,0,98,equal allocation
3650,0,0,98,equal allocation
5000,0,0,98,equal allocation
7300,0,0,98,equal allocation
10000,0,0,98,equal allocation
730,0,0,99,equal allocation
1000,0,0,99,equal allocation
1825,0,0,99,equal allocation
3650,0,0,99,equal allocation
5000,0,0,99,equal allocation
7300,0,0,99,equal allocation
10000,0,0,99,equal allocation
730,0,0,100,equal allocation
1000,0,0,100,equal allocation
1825,0,0,100,equal allocation
3650,0,0,100,equal allocation
5000,0,0,100,equal allocation
7300,0,0,100,equal allocation
10000,0.02,0,100,equal allocation
730,0,0,101,equal allocation
1000,0,0,101,equal allocation
1825,0,0,101,equal allocation
3650,0,0,101,equal allocation
5000,0,0,101,equal allocation
7300,0,0,101,equal allocation
10000,0,0,101,equal allocation
730,0,0,102,equal allocation
1000,0,0,102,equal allocation
1825,0,0,102,equal allocation
3650,0,0,102,equal allocation
5000,0.03,0,102,equal allocation
7300,0.13,0,102,equal allocation
10000,0.26,0,102,equal allocation
730,0,0,103,equal allocation
1000,0,0,103,equal allocation
1825,0,0,103,equal allocation
3650,0,0,103,equal allocation
5000,0,0,103,equal allocation
7300,0,0,103,equal allocation
10000,0,0,103,equal allocation
730,0,0,104,equal allocation
1000,0,0,104,equal allocation
1825,0,0,104,equal allocation
3650,0,0,104,equal allocation
5000,0,0,104,equal allocation
7300,0,0,104,equal allocation
10000,0,0,104,equal allocation
730,0,0,105,equal allocation
1000,0,0,105,equal allocation
1825,0,0,105,equal allocation
3650,0,0,105,equal allocation
5000,0,0,105,equal allocation
7300,0.04,0,105,equal allocation
10000,0.22,0,105,equal allocation
730,0,0,106,equal allocation
1000,0,0,106,equal allocation
1825,0,0,106,equal allocation
3650,0.03,0,106,equal allocation
5000,0.15,0,106,equal allocation
7300,0.37,0,106,equal allocation
10000,0.43,0,106,equal allocation
730,0,0,107,equal allocation
1000,0,0,107,equal allocation
1825,0,0,107,equal allocation
3650,0,0,107,equal allocation
5000,0,0,107,equal allocation
7300,0,0,107,equal allocation
10000,0,0,107,equal allocation
730,0,0,108,equal allocation
1000,0,0,108,equal allocation
1825,0,0,108,equal allocation
3650,0,0,108,equal allocation
5000,0,0,108,equal allocation
7300,0,0,108,equal allocation
10000,0,0,108,equal allocation
730,0,0,109,equal allocation
1000,0,0,109,equal allocation
1825,0,0,109,equal allocation
3650,0,0,109,equal allocation
5000,0,0,109,equal allocation
7300,0,0,109,equal allocation
10000,0,0,109,equal allocation
730,0,0,110,equal allocation
1000,0,0,110,equal allocation
1825,0,0,110,equal allocation
3650,0,0,110,equal allocation
5000,0,0,110,equal allocation
7300,0,0,110,equal allocation
10000,0,0,110,equal allocation
730,0,0,111,equal allocation
1000,0,0,111,equal allocation
1825,0,0,111,equal allocation
3650,0,0,111,equal allocation
5000,0.02,0,111,equal allocation
7300,0.08,0,111,equal allocation
10000,0.22,0,111,equal allocation
730,0,0,112,equal allocation
1000,0,0,112,equal allocation
1825,0,0,112,equal allocation
3650,0,0,112,equal allocation
